Name,Latin Name,Appearance,Light Microscope Image,Light Microscope Description,Scanning Electron Microscope Image
Daisy,Bellis Perennis,img/Daisy.jpg,img/DaisyLM.jpg,1EPG= 2.5µm Mean size= 29.5µm 400x magnification,img/DaisySEM.png
Dandelion,Taraxacum officinalis,img/Dandelion.png,img/DandelionLM.jpg,1EPG= 2.5µm Mean size= 29.5µm 400x magnification,img/DandelionSEM.png
Daffodil,Narcissus jonquilla,img/Daffodil.jpg,img/DaffodilLM.jpg,1EPG= 2.5µm Mean size= 58.5µm 400x magnification,
Wild daffodil,Narcissus pseudonarcissus,img/WildDaffodil.jpg,,,img/WildDaffodilSEM.png
Snowdrop,Galanthus nivalis,,,1EPG= 2.5µm Mean size= 26µm 400x magnification,
Sweet violet,Viola odorata,img/SweetViolet.jpg,img/SweetVioletLM.jpg,1EPG= 2.5µm Mean size= 16.74µm 400x magnification,img/SweetVioletSEM.jpg
Hazel,Corylus avellama,img/Hazel.jpg,img/HazelLM.jpg,1EPG= 2.7µm Mean size= 16.74µm 400x magnification,img/HazelSEM.jpg
Crocus (purple),Crocus speciosus,img/Crocusp.jpg,img/CrocuspLM.jpg,1EPG= 2.7µm Mean size= 110.7 µm 400x magnification,img/CrocuspSEM.jpg
Crocus (yellow),Crocus speciosus,img/Crocusy.jpg,img/CrocusyLM.jpg,1EPG= 2.7µm Mean size= 103.68µm 400x magnification,img/CrocusySEM.jpg
Crocus (white),Crocus speciosus,img/Crocusw.jpg,img/CrocuswLM.jpg,1EPG= 2.7µm Mean size= 132.84µm 400x magnification,img/CrocuswSEM.jpg
Hawthorn blossoms,Crataegus monogyna,img/Hawthornblossoms.jpg,img/HawthornblossomsLM.jpg,1EPG= 2.7µm Mean size= 33.48µm 400x magnification,img/HawthornblossomsSEM.jpg
Gorse,Ulex europaeus,img/Gorse.jpg,img/GorseLM.jpg,1EPG= 2.7µm Mean size= 30.15µm 400x magnification,
Couch grass,Elymus repens,img/Couchgrass.jpg,,,img/CouchgrassSEM.jpg
Nettles,"Urtica dioica, U. urens ",img/Nettles.jpg,,,img/NettlesSEM.jpg
Chickweed,Stellaria media,img/Chickweed.jpg,,,img/ChickweedSEM.jpg
Mugwort,Artemisia vulgaris L,img/Mugwort.jpg,,,img/MugwortSEM.jpg
Cow parsley,Anthriscus sylvestris,img/Cowparsley.jpg,,,img/CowparsleySEM.jpg
Cleavers,Galium aparine,img/Cleavers.jpg,,,img/CleaversSEM.jpg
Herb Robert,Geranium robertianum,img/HerbRobert.jpg,,,img/HerbRobertSEM.jpg
Hairy bittercress,Cardamine hirsuta,img/Hairybittercress.jpg,,,img/HairybittercressSEM.jpg
Wavy bittercress,Cardamine flexuosa,img/Wavybittercress.jpg,img/WavybittercressLM.jpg,,
Creeping thistle,Cirsium arvense,img/Creepingthistle.jpg,,,img/CreepingthistleSEM.jpg
Green alkanet,Pentaglottis sempervirens,img/Greenalkanet.jpg,img/GreenalkanetLM.jpg,,
Hedge bindweed or bellbind,Calystegia sepium,img/Hedgebindweed.jpg,,,img/HedgebindweedSEM.jpg
Field bindweed,Convolvulus arvensis,img/Fieldbindweed.jpg,,,img/FieldbindweedSEM.jpg
